position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
G,23,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,Pontypridd
HB,63,63,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Bangor City,""
D,76,76,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,Djurgaardens/Sweden
D,82,88,163,11,16,9,0,0,6,1,0,13,0,2,191,12,18,Swindon Town,""
OL,66,67,73,1,12,8,0,3,4,0,0,0,0,0,85,1,15,Wellington Town,Port Vale
OL,46,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,""
CH,78,84,167,6,12,12,0,1,13,1,0,2,0,0,194,7,13,Local,Port Vale
IF,57,60,161,0,88,9,0,8,3,0,1,0,0,0,173,0,97,Everton,Plymouth Argyle
WH,51,58,197,0,12,17,0,4,0,0,0,0,0,0,214,0,16,Local,Johannesburg
WH,46,56,53,0,2,3,0,0,0,0,0,0,0,0,56,0,2,Local,Southport
IF,46,46,4,0,3,0,0,0,0,0,0,0,0,0,4,0,3,Local,South Liverpool
OL,45,52,92,0,21,13,0,2,0,0,0,0,0,0,105,0,23,Harrogate,Swindon Town
RB,62,63,54,0,0,5,0,0,3,0,0,0,0,0,62,0,0,Preston North End,New Brighton
CH,21,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,South Liverpool,""
F,53,54,27,0,2,0,0,0,0,0,0,0,0,0,27,0,2,Bradford City,Yeovil Town
IL,36,36,37,0,11,1,0,0,0,0,0,0,0,0,38,0,11,Crewe Alexandra,New Brighton
OL,49,49,31,0,5,2,0,1,0,0,0,0,0,0,33,0,6,Barhill,Witton Albion
W,74,74,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,Local,New Zealand
W,96,96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cork City,Cork City
MF,82,84,9,5,2,0,0,0,1,0,0,0,1,0,10,6,2,Local,Runcorn
IL,33,35,102,0,38,8,0,6,0,0,0,0,0,0,110,0,44,Manchester United,Chesterfield
CF,85,86,51,8,21,5,1,1,4,0,2,3,2,0,63,11,24,Brighton & Hove Albion,Preston North End
CF,66,70,123,0,68,10,2,6,14,0,7,0,0,0,147,2,81,Luton Town,""
RB,26,28,92,0,0,5,0,0,0,0,0,0,0,0,97,0,0,Crewe Alexandra,Mansfield Town
CH,71,73,96,1,5,8,0,1,5,0,0,0,0,0,109,1,6,Liverpool,Stalybridge Celtic
F,72,76,170,2,27,9,0,1,11,1,1,0,0,0,190,3,29,Falkirk,Rotherham United
