position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
FB,46,50,78,0,0,2,0,0,0,0,0,0,0,0,80,0,0,Sheffield United,""
F,56,56,13,0,1,0,0,0,0,0,0,0,0,0,13,0,1,Lincoln City,Headington United
FB,85,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Hull City,""
IF,59,59,3,0,2,0,0,0,0,0,0,0,0,0,3,0,2,Everton,""
LH,35,35,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,Manchester United,""
FB,45,48,32,0,0,5,0,0,0,0,0,0,0,0,37,0,0,Local,Crewe Alexandra
CF,86,86,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1,Grimsby Town (loan),""
CF,66,68,54,1,18,6,0,4,3,0,0,0,0,0,63,1,22,Northampton Town,""
W,62,62,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Wrexham,Ellesmere Port Town
CD,85,93,264,8,9,11,3,0,27,0,2,30,1,1,332,12,12,Bristol City,Shrewsbury Town
OL,21,21,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Aberdare Athletic,""
OR,33,33,8,0,2,1,0,0,0,0,0,0,0,0,9,0,2,Bolton Juniors,""
MF,81,82,32,3,6,2,0,0,7,0,3,0,0,0,41,3,9,Wigan Athletic,Mansfield Town
MF,83,83,21,0,4,0,0,0,0,0,0,5,0,2,26,0,6,Mansfield Town,Bristol City
CF,21,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Aberdare Athletic,Clevedon Glos
OL,50,54,140,0,18,13,0,4,0,0,0,0,0,0,153,0,22,Carlisle United,""
D,84,84,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,Peterborough United,""
MF,89,96,243,30,36,11,2,3,18,4,4,19,3,2,291,39,45,YTS,""
CF,48,48,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,Wishaw Juniors,""
CH,28,29,37,0,0,4,0,0,0,0,0,0,0,0,41,0,0,Chester,Accrington Stanley
IF,61,62,38,0,5,0,0,0,1,0,0,0,0,0,39,0,5,Bradford City,Halifax Town
FB,23,29,104,0,0,10,0,0,0,0,0,0,0,0,114,0,0,Merthyr Town,South Liverpool
IF,24,24,6,0.,1,0,0,0,0,0,0,0,0,0,6,0,1,Lancaster Town,Northwich Victoria
CH,61,64,81,0,3,4,0,0,0,0,0,0,0,0,85,0,3,Bradford City,""
FB,36,36,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Wilton Albion,Stockport County
HB,51,53,14,0,1,0,0,0,0,0,0,0,0,0,14,0,1,Swindon Town,""
F,75,77,59,14,24,2,1,1,2,1,3,0,0,0,63,16,28,Chester,""
HB,24,24,15,0,0,1,0,0,0,0,0,0,0,0,16,0,0,Barnsley,Bangor City
HB,68,68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Local,""
G,74,74,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Atherstone Town,Southport
G,71,81,355,0,0,17,0,0,25,0,0,0,0,0,397,0,0,Local,Altrincham
HB,25,25,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Sunderland,Blyth Spartans
FB,46,47,40,0,0,2,0,0,0,0,0,0,0,0,42,0,0,Raith Rovers,""
CF,53,54,6,0,2,0,0,0,0,0,0,0,0,0,6,0,2,Liverpool,Chester
W,45,47,54,0,19,5,0,0,0,0,0,0,0,0,59,0,19,Ellesmere Port Town,Chelsea
FB,53,60,155,0,19,8,0,0,2,0,0,0,0,0,165,0,19,Ellesmere Port Town,Runcorn
CF,93,96,38,41,12,2,1,0,4,2,2,1,0,0,45,44,14,YTS,""
LB,38,38,16,0,0,1,0,0,0,0,0,0,0,0,17,0,0,Stockport County,Walsall
F,96,96,8,0,5,0,0,0,0,0,0,0,0,0,8,0,5,Liverpool (loan),""
IR,62,64,68,0,29,6,0,2,2,0,0,0,0,0,76,0,31,Bolton Wanderers,Chester
G,93,93,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,YTS,""
IR,36,37,54,0,12,1,0,0,0,0,0,0,0,0,55,0,12,Macclesfield,Watford
LB,32,32,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Huddersfield Town,""
OR,26,28,90,0,28,2,0,0,0,0,0,0,0,0,92,0,28,Mid-Rhondda,Sheffield Wednesday
FB,70,70,21,0,1,3,0,0,4,0,0,0,0,0,28,0,1,Torquay United,Doncaster Rovers
IL,37,38,9,0,2,0,0,0,0,0,0,0,0,0,9,0,2,Leicester City,Accrington Stanley
RB,38,38,21,0,1,1,0,0,0,0,0,0,0,0,22,0,1,Wolves,""
IR,27,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Stoke City,""
IF,79,81,55,9,9,1,0,0,7,0,2,0.,0,0,63,9,11,Cammell Laird,Preston North End
IF,55,56,52,0,7,2,0,0,0,0,0,0,0,0,54,0,7,Nottingham Forest,Ellesmere Port Town
MF,84,84,5,0,2,0,0,0,0,0,0,0,0,0,5,0,2,Leicester City (loan),""
LB,30,30,36,0,0,2,0,0,0,0,0,0,0,0,38,0,0,Everton,""
OR,67,69,16,1,0,1,1,0,0,0,0,0,0,0,17,2,0,Local,Chester
IL,30,31,65,0,45,2,0,0,0,0,0,0,0,0,67,0,45,Sheffield United,Exeter City
MF,74,76,36,18,5,0,2,0,4,0,0,0,0,0,40,20,5,Everton,""
OR,93,95,14,12,2,0,0,0,3,0,0,1,2,0,18,14,2,YTS,""
CF,78,82,145,9,38,6,2,1,14,2,4,0,0,0,165,13,43,Local,Bristol City
F,55,58,34,0,4,0,0,0,0,0,0,0,0,0,34,0,4,Everton,""
LH,47,56,342,0,6,17,0,0,0,0,0,0,0,0,359,0,6,Local,Macclesfield
CF,22,22,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Port Sunlight,""
LH,62,71,341,0,35,23,0,2,21,0,1,0,0,0,385,0,38,Local,Ellesmere Port Town
IF,37,37,11,0,4,3,0,0,0,0,0,0,0,0,14,0,4,Waterford,Barrow
WH,60,67,240,2,4,13,0,1,9,0,0,0,0,0,262,2,5,Bournemouth,Port Vale
F,66,66,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,Bangor City,Wrexham
IF,31,31,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Lincoln City,New Brighton
CH,69,70,36,0,1,3,0,0,3,0,0,0,0,0,42,0,1,Los Angeles/USA,Poole Town
F,45,52,88,0,12,3,0,0,0,0,0,0,0,0,91,0,12,Everton,""
FB,51,55,143,0,3,11,0,0,0,0,0,0,0,0,154,0,3,New Brighton,Cowdenbeath
OL,59,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Darlington,""
G,69,71,76,0,0,6,0,0,7,0,0,0,0,0,89,0,0,Stanley Arms,Liverpool
G,71,73,80,0,0,11,0,0,3,0,0,0,0,0,94,0,0,Liverpool,Chorley
MF,80,80,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,Liverpool,Oswestry
CH,22,23,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Everton,""
MF,84,84,14,4,0,2,1,0,1,0,0,2,1,0,19,6,0,Stafford Rangers,Cambridge United
IF,47,47,13,0,2,2,0,0,0,0,0,0,0,0,15,0,2,Bury,""
CF,82,82,6,1,0,0,0,0,0,0,0,0,0,0,6,1,0,Everton (loan),""
RH,25,25,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,Manchester City,Crossley Bros
RB,30,31,30,0,0,4,0,0,0,0,0,0,0,0,34,0,0,Wigan Borough,Rhyl
OR,32,32,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Merthyr Town,Grimsby Town
LH,25,33,266,0,9,22,0,1,0,0,0,0,0,0,288,0,10,Cardiff City,""
RB,23,24,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,Buckley Town,Mold
G,36,38,58,0,0,1,0,0,0,0,0,0,0,0,59,0,0,Bradford Park Avenue,""
G,60,66,180,0,0,8,0,0,6,0,0,0,0,0,194,0,0,Blackburn Rovers,Wigan Athletic
IF,23,31,162,0,50,11,0,2,0,0,0,0,0,0,173,0,52,Reading,Wrexham
LB,30,32,88,0,0,7,0,0,0,0,0,0,0,0,95,0,0,Aberdeen,Jersey
CF,21,21,11,0,2,0,0,0,0,0,0,0,0,0,11,0,2,Middlesbrough,""
G,45,56,188,0,0,14,0,0,0,0,0,0,0,0,202,0,0,Flint Town,Runcorn
IL,22,22,5,0,2,0,0,0,0,0,0,0,0,0,5,0,2,Everton,Winsford United
