position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
OL,64,65,50,0,11,3,0,0,1,0,0,0,0,0,54,0,11,Liverpool,Norwich City
OR,32,32,3,0,1,1,0,0,0,0,0,0,0,0,4,0,1,"",""
OR,29,31,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Bromborough Pool,Bromborough Pool
G,82,85,86,0,0,2,0,0,4,0,0,6,0,0,98,0,0,Liverpool,Wigan Athletic
OL,35,35,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,Congleton Town,Congleton Town
F,91,96,220,14,133,8,1,4,25,0,22,12,0,10,265,15,169,Real Sociedad/Spain,""
OL,46,48,23,0,3,0,0,0,0,0,0,0,0,0,23,0,3,New Brighton,""
RH,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,World War 2
RH,46,48,74,0,4,2,0,0,0,0,0,0,0,0,76,0,4,World War 2,New Brighton
F,83,83,6,4,0,2,0,1,1,0,0,0,0,0,9,4,1,Burnley,Runcorn
F,73,77,137,19,42,4,1,1,9,0,3,0,0,0,150,20,46,West Bromwich Albion,Mansfield
OL,36,36,22,0,5,1,0,0,0,0,0,0,0,0,23,0,5,Stoke City,Shrewsbury Town
LB,35,37,47,0,0,2,0,0,0,0,0,0,0,0,49,0,0,New Brighton,Stockport County
OL,61,61,8,0,1,0,0,0,0,0,0,0,0,0,8,0,1,Bradford Park Avenue,""
OL,84,86,125,1,15,8,0,2,5,1,1,7,0,2,145,2,20,Oldham Athletic,Plymouth Argyle
WH,37,38,31,0,0,1,0,0,0,0,0,0,0,0,32,0,0,Chester,World War 2
WH,45,47,42,0,0,5,0,0,0,0,0,0,0,0,47,0,0,World War 2,""
CF,60,62,68,0,34,2,0,1,1,0,3,0,0,0,71,0,38,Liverpool,Halifax Town
CD,85,85,16,7,2,2,1,0,2,0,0,2,1,0,22,9,2,FC Twente,""
OR,45,46,20,0,4,3,0,2,0,0,0,0,0,0,23,0,6,Flint Town,""
RH,66,66,21,0,3,2,0,0,1,0,1,0,0,0,24,0,4,Hartlepools United,Chester
MF,82,84,100,7,25,6,0,2,7,0,1,6,0,1,119,7,29,Local,Altrincham
MF,87,87,11,1,1,0,0,0,0,0,0,1,0,0,12,1,1,Bangor City,Bangor City
CF,45,54,185,0,91,12,0,13,0,0,0,0,0,0,197,0,104,Carlton,Chesterfield
IR,48,53,168,0,64,14,0,4,0,0,0,0,0,0,182,0,68,Bury,Ellesmere Port Town
OR,34,35,23,0,10,2,0,2,0,0,0,0,0,0,25,0,12,Port Vale,Shrewsbury Town
CF,21,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
CH,27,29,86,0,1,3,0,1,0,0,0,0,0,0,89,0,2,Leicester City,Prescot Cables
IF,59,60,32,0,11,0,0,0,0,0,0,0,0,0,32,0,11,Port Vale,Halifax Town
HB,46,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,""
FB,48,50,14,0,3,0,0,0,0,0,0,0,0,0,14,0,3,Cardiff City,""
RH,25,34,237,0,5,20,0,0,0,0,0,0,0,0,257,0,5,Everton,""
CH,89,89,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,YTS,""
FB,48,48,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Arbroath,""
F,65,71,176,2,49,20,0,7,11,1,7,0,0,0,207,3,63,Local,Brighton & Hove Albion
F,79,80,57,2,15,5,0,3,4,0,0,0,0,0,66,2,18,Bury,Swindon Town
OR,27,27,3,0,2,0,0,0,0,0,0,0,0,0,3,0,2,Lancaster Town,Morecambe
CF,30,35,114,0,102,13,0,11,0,0,0,0,0,0,127,0,113,Carlton,Everton
MF,86,86,41,1,4,2,0,0,2,0,0,2,0,0,47,1,4,Bolton Wanderers,Hyde United
CH,45,59,595,0,11,36,0,1,0,0,0,0,0,0,631,0,12,Local,Holyhead Town
F,95,95,26,3,9,0,0,0,4,0,0,0,0,0,30,3,9,Wrexham,Preston North End
HB,60,60,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Liverpool,Sankeys
CF,22,28,67,0,32,6,0,1,0,0,0,0,0,0,73,0,33,Stockport County,Rhyl
IL,27,27,3,0,2,0,0,0,0,0,0,0,0,0,3,0,2,Runcorn,Prescot Cables
FB,60,63,93,0,0,2,0,0,4,0,0,0,0,0,99,0,0,Everton,Altrincham
IF,46,46,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Everton,""
OR,24,24,10,0,0,1,0,0,0,0,0,0,0,0,11,0,0,Lancaster Town,Lancaster Town
MF,87,90,46,31,19,2,2,0,8,3,3,2,3,0,58,39,22,Runcorn,Chester City
HB,65,66,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Local,""
W,96,96,9,4,1,0,0,0,2,0,1,0,0,0,11,4,2,Grimsby Town,""
CF,29,29,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Local,""
FB,59,60,28,0,1,0,0,0,0,0,0,0,0,0,28,0,1,Burnley,Nelson
LB,35,35,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Bury,""
G,21,22,59,0,0,2,0,0,0,0,0,0,0,0,61,0,0,South Liverpool,Ellesmere Port CW
CH,76,81,164,6,7,8,1,0,14,0,1,0,0,0,186,7,8,Stockton Heath,Bury
W,91,96,39,38,7,0,2,0,3,5,1,2,1,0,44,46,8,Heswall,""
FB,90,96,234,12,21,10,1,0,26,1,4,19,0,0,289,14,25,YTS,Manchester City
FB,62,62,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Bury,Rhyl
IL,45,47,33,0,9,6,0,1,0,0,0,0,0,0,39,0,10,Manchester City,Ashton National
G,24,31,233,0,0,13,0,0,0,0,0,0,0,0,246,0,0,Hull City,Swindon Town
WH,69,71,81,3,3,10,0,2,6,0,1,0,0,0,97,3,6,Chester,""
D,82,82,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Local,""
D,82,82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,""
IF,23,24,47,0,11,4,0,2,0,0,0,0,0,0,51,0,13,Glenavon,Mid-Rhondda
LB,60,61,33,0,0,0,0,0,1,0,0,0,0,0,34,0,0,Third Lanark,Hartlepools United
F,81,81,29,8,8,2,0,1,6,0,5,0,0,0,37,8,14,Carlisle United,Crewe Alexandra
F,82,83,47,9,12,6,0,4,2,0,1,0,0,0,55,9,17,Crewe Alexandra,Chester City
IR,33,34,13,0,2,0,0,0,0,0,0,0,0,0,13,0,2,Lincoln Corinthian,Prescot Cables
RH,23,23,36,0,0,3,0,0,0,0,0,0,0,0,39,0,0,Bolton Wanderers,Runcorn
CF,37,38,35,0,12,3,0,2,0,0,0,0,0,0,38,0,14,Bristol Rovers,""
D,86,86,25,5,1,2,0,0,2,0,0,1,0,0,30,5,1,Oldham Athletic,Stockport County
CF,21,21,9,0,5,2,0,2,0,0,0,0,0,0,11,0,7,Doncaster Rovers,Southport
LB,81,85,217,1,1,15,0,0,16,0,0,11,0,0,259,1,1,Everton,Grimsby Town
CF,34,34,31,0,21,1,0,2,0,0,0,0,0,0,32,0,23,Wolves,Bournemouth
D,84,84,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Scarborough (loan),""
OR,46,46,14,0,4,0,0,0,0,0,0,0,0,0,14,0,4,Southport,""
G,26,30,49,0,0,0,0,0,0,0,0,0,0,0,49,0,0,Selby Town,Wrexham
fR,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Oldham Athletic,Cork City
OL,61,61,27,0,4,1,0,0,1,0,0,0,0,0,29,0,4,Queen Of The South,Hibernian
OR,68,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cammell Laird,""
WH,46,46,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Heswall,""
D,78,78,5,0,0,3,0,0,0,0,0,0,0,0,8,0,0,USA,Stockport County
CF,86,86,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,Avenue,South Liverpool
WH,21,29,189,0,10,15,0,1,0,0,0,0,0,0,204,0,11,Local,""
W,61,63,102,0,9,4,0,0,5,0,0,0,0,0,111,0,9,Blackpool,Wigan Athletic
CF,61,61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Dundee United,""
CF,47,48,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"",""
MF,86,86,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Emley,""
